source_file,webp,jpg,category,alt_text,caption,sensitivity_notes,approved
20250611_120433.jpg,nova-titan-structured-cabling-blue-cat6-patch-panel-rack-west-texas-01.webp,nova-titan-structured-cabling-blue-cat6-patch-panel-rack-west-texas-01.jpg,Structured Cabling,Structured cabling rack with blue Cat6 patch cables and organized cable management for a commercial network installation in West Texas.,Structured cabling rack with organized Cat6 patching and commercial network equipment.,No sensitive data visible; optimized only.,yes
20260427_191322.jpg,nova-titan-commercial-network-rack-att-velocity-bandwidth-manager-west-texas-01.webp,nova-titan-commercial-network-rack-att-velocity-bandwidth-manager-west-texas-01.jpg,Network Infrastructure,"Commercial network rack with AT&T demarc equipment, Velocity bandwidth manager, Fortinet appliances, and structured patching for a West Texas business.","Network rack with carrier demarc, bandwidth management, firewall, switching, and patching.",Blurred customer/site label areas.,yes
20260427_191626.jpg,nova-titan-commercial-nvr-poe-switch-rack-hikvision-lorex-west-texas-01.webp,nova-titan-commercial-nvr-poe-switch-rack-hikvision-lorex-west-texas-01.jpg,Security Camera Infrastructure,"Commercial rack with Hikvision NVR, Lorex recorder, Ruckus switch, PoE cabling, and network support equipment.","NVR, PoE switching, and network rack support for a commercial camera infrastructure environment.",Blurred asset/site label area.,yes
20260112_115231.jpg,nova-titan-fortinet-fortiswitch-commercial-rack-patch-panel-west-texas-01.webp,nova-titan-fortinet-fortiswitch-commercial-rack-patch-panel-west-texas-01.jpg,Network Infrastructure,Fortinet firewall and FortiSwitch equipment installed in a commercial network rack with patch panel support.,"Fortinet firewall, switching, and rack-mounted network support equipment.",Blurred small site/service label area.,yes
20260413_101722.jpg,nova-titan-commercial-cctv-network-rack-white-cabling-west-texas-01.webp,nova-titan-commercial-cctv-network-rack-white-cabling-west-texas-01.jpg,Security Camera Infrastructure,"Commercial CCTV and network rack with white cabling, switch gear, and camera infrastructure support.","Commercial CCTV/network rack before cleanup or service support, with camera monitoring screen blurred for privacy.",Blurred live camera display and site/device labels.,yes
20260304_094021.jpg,nova-titan-dell-server-rack-pdu-storage-cabling-west-texas-01.webp,nova-titan-dell-server-rack-pdu-storage-cabling-west-texas-01.jpg,Server Room / MDF,"Dell server and storage rack with PDU equipment, organized cabling, and data center support hardware.",Dell server/storage rack with PDU hardware and cabling support.,Blurred handwritten site/store label.,yes
20260304_100324.jpg,nova-titan-full-dell-server-rack-after-install-west-texas-01.webp,nova-titan-full-dell-server-rack-after-install-west-texas-01.jpg,Server Room / MDF,"Full Dell server rack with storage, power distribution, and network equipment after field support work.",Full Dell server rack with network and power infrastructure support.,Blurred site/store label and visible shipping labels.,yes
20260406_111233.jpg,nova-titan-fortigate-40f-commercial-firewall-closeup-west-texas-01.webp,nova-titan-fortigate-40f-commercial-firewall-closeup-west-texas-01.jpg,Fortinet / Firewall,FortiGate 40F firewall closeup in a commercial rack with connected network cabling and support equipment.,FortiGate firewall installed in a commercial rack environment.,Blurred small equipment/service label.,yes
20260112_114235.jpg,nova-titan-fortigate-fortiswitch-eaton-ups-commercial-rack-01.webp,nova-titan-fortigate-fortiswitch-eaton-ups-commercial-rack-01.jpg,Fortinet / Firewall,"Commercial rack with Fortinet firewall, FortiSwitch, Eaton UPS, and structured cabling for network infrastructure support.","Fortinet firewall, switch, UPS, and rack-mounted network equipment.",Blurred small handwritten/device label.,yes
20260206_120929.jpg,nova-titan-fortinet-firewall-cisco-router-commercial-rack-01.webp,nova-titan-fortinet-firewall-cisco-router-commercial-rack-01.jpg,Fortinet / Firewall,Fortinet firewall installed with Cisco router and rack-mounted network equipment for commercial infrastructure support.,Fortinet firewall and Cisco router support in a commercial rack.,Blurred service/site label.,yes
